id_conf,run_id,mutation,neighbor,H,stop,nb solutions,hv,spacing,duration_batch
57,2,0.4,0.05,25,100,77,0.5851864852857485,0.10032827886958122,57.61390471458435
57,3,0.4,0.05,25,100,67,0.5955070495980641,0.11415650122070767,57.61390471458435
57,4,0.4,0.05,25,100,58,0.5755543178447673,0.1579933124315966,57.61390471458435
52,0,0.1,0.2,25,100,145,0.5848890705403926,0.07310473521943069,84.54829220771789
52,1,0.1,0.2,25,100,79,0.5914798245885494,0.13157330627864344,84.54829220771789
52,2,0.1,0.2,25,100,79,0.5780991894913269,0.06219780089257003,84.54829220771789
52,3,0.1,0.2,25,100,43,0.5774197138678129,0.12920166969643243,84.54829220771789
52,4,0.1,0.2,25,100,33,0.5466985545273222,0.145155018384505,84.54829220771789
65,0,0.1,0.05,8,200,62,0.5550824199740357,0.0994833120673096,10.203033781051635
65,1,0.1,0.05,8,200,49,0.5515898607854656,0.10764624966490545,10.203033781051635
65,2,0.1,0.05,8,200,91,0.564852349167097,0.09971946583659533,10.203033781051635
65,3,0.1,0.05,8,200,99,0.5577738331683951,0.08120635628110531,10.203033781051635
65,4,0.1,0.05,8,200,98,0.5640399975504272,0.09827286574500964,10.203033781051635
55,0,0.2,0.15,25,100,138,0.5781614650418442,0.07909570252884884,80.97679252624512
55,1,0.2,0.15,25,100,96,0.6068178584459158,0.1065479888416566,80.97679252624512
55,2,0.2,0.15,25,100,81,0.5795623133408266,0.1074313916313532,80.97679252624512
55,3,0.2,0.15,25,100,40,0.5611969757970803,0.14586790399651703,80.97679252624512
55,4,0.2,0.15,25,100,50,0.5587459027084931,0.15231803993998616,80.97679252624512
56,0,0.2,0.2,25,100,87,0.5974842244307531,0.09773257567518383,83.40037865638733
56,1,0.2,0.2,25,100,27,0.5581698368800407,0.11967823397421497,83.40037865638733
56,2,0.2,0.2,25,100,69,0.590715726032843,0.09853789283688441,83.40037865638733
56,3,0.2,0.2,25,100,125,0.5884734475926261,0.06977059688985174,83.40037865638733
56,4,0.2,0.2,25,100,88,0.5540172285568399,0.11494774725914447,83.40037865638733
66,0,0.1,0.1,8,200,34,0.5537283738049921,0.2026766096790293,19.99088234901428
66,1,0.1,0.1,8,200,35,0.5797583943541006,0.14802650641818807,19.99088234901428
66,2,0.1,0.1,8,200,59,0.554356352825864,0.11561869540912799,19.99088234901428
66,3,0.1,0.1,8,200,53,0.5533457149120885,0.10482870520157436,19.99088234901428
66,4,0.1,0.1,8,200,52,0.5736233328957785,0.09711637326342493,19.99088234901428
67,0,0.1,0.15,8,200,67,0.5628612235660974,0.11150946639800263,10.35763258934021
67,1,0.1,0.15,8,200,71,0.5569515204568919,0.10168695105699863,10.35763258934021
67,2,0.1,0.15,8,200,55,0.5532118482377116,0.09842522376346982,10.35763258934021
67,3,0.1,0.15,8,200,47,0.5926321957526814,0.11267434577106612,10.35763258934021
67,4,0.1,0.15,8,200,34,0.559767893070648,0.15206132570304295,10.35763258934021
58,0,0.4,0.1,25,100,107,0.5986854397271251,0.07551552767543317,79.78912868499756
58,1,0.4,0.1,25,100,124,0.5836636296501346,0.08933836333077826,79.78912868499756
58,2,0.4,0.1,25,100,44,0.5741365880746385,0.14608915073089104,79.78912868499756
58,3,0.4,0.1,25,100,32,0.5736518080498195,0.20247798182903567,79.78912868499756
58,4,0.4,0.1,25,100,72,0.5774883477359168,0.07812901760551008,79.78912868499756
59,0,0.4,0.15,25,100,115,0.5845920672260967,0.09249681038671177,82.23314528465271
59,1,0.4,0.15,25,100,105,0.5945200862747484,0.10073707543310735,82.23314528465271
59,2,0.4,0.15,25,100,140,0.603755014141683,0.08514718863499587,82.23314528465271
59,3,0.4,0.15,25,100,133,0.5950571681447877,0.08740702792089618,82.23314528465271
59,4,0.4,0.15,25,100,69,0.571531811861453,0.09621906829380293,82.23314528465271
71,0,0.2,0.15,8,200,44,0.5745730338207492,0.16492615350658632,8.993594598770141
71,1,0.2,0.15,8,200,61,0.5803476247618993,0.11571872859708528,8.993594598770141
71,2,0.2,0.15,8,200,59,0.5473182437899279,0.11836933798642707,8.993594598770141
